Session/Phase,Factor Varied,Variable Name,Variable Test No.,Prototype ID,Value
1,Baseline,null,1,S1BAS1,
1,Amplitude,amplitude0,1,S1AMP1,10
1,Amplitude,amplitude0,2,S1AMP2,30
1,Period,period_factors,1,S1PRD1,"[1.5, 1, 0.5]"
1,Period,period_factors,2,S1PRD2,"[0.5, 1, 1.5]"
1,X-Offset Factor,offset_factor_x,1,S1XOF1,-0.75
1,X-Offset Factor,offset_factor_x,2,S1XOF2,0.75
1,X-Mid Factor,mid_factor_x,1,S1XMF1,-0.5
1,X-Mid Factor,mid_factor_x,2,S1XMF2,0.5
1,Curve Weight,curve_weight,1,S1CWT1,1
1,Curve Weight,curve_weight,2,S1CWT2,10
1,Thickness Factor,thickness_factor,1,S1THF1,"[1, 0.5, 1]"
1,Thickness Factor,thickness_factor,2,S1THF2,"[0.5, 1, 0.5]"
1,Thickness Value,thickness,1,S1THV1,0.5
1,Thickness Value,thickness,2,S1THV2,1.5